lesson_key,course_number,section_order,lesson_number,lesson_name,standardised_question,transcript_word_count
001-037,001,2,37,The Pygmalion Effect: Shaping Reality Through Belief,Can simply believing something about a person actually change how they turn out?,2257
001-038,001,2,38,"Viktor Frankl, Logotherapy, and Man's Search for Meaning","How did Viktor Frankl come to believe that meaning, not pleasure, is what drives us?",1896
001-039,001,2,39,An Exploration of the 'Stimulus-Response' Quadrant,Why do we sometimes react more to our perception of a situation than to the situation itself?,2320
001-040,001,2,40,IKIGAI: Discovering Your Reason For Being,"What is Ikigai, and how does it help you find your reason for being?",2085
001-041,001,2,41,Albert Ellis' Fourteen Completely Irrational Beliefs (Part 1),What are some of the irrational beliefs that quietly drive human distress?,3917
001-042,001,2,42,Albert Ellis' Fourteen Completely Irrational Beliefs (Part 2),How can recognising an irrational belief actually change how you feel?,3602
001-043,001,2,43,What Restrictions are There on the Mind's Ability to Learn?,Does the mind's ability to learn really decline with age?,2482
001-044,001,2,44,What is the Relationship Between Perception and Behavior?,How does perception actually shape the way we behave?,1912
001-045,001,3,45,Psychoanalysis as a Conceptual Model of the World,"How does perception shape the way we behave, and why does that matter for how we understand each other?",3891
001-046,001,3,46,Sigmund Freud's Iceberg Model of Human Consciousness,What did Sigmund Freud's iceberg model reveal about the layers of the mind?,2401
001-047,001,3,47,Beliefs: How Limiting Beliefs Are Constructed,Where do our limiting beliefs actually come from?,1316
001-048,001,3,48,The Art of Looking Inside: A Stimulus for Introspection,What can looking inward actually teach you about yourself?,1731
001-049,001,3,49,"Psychoanalytic Theory: Freud's Id, Ego, and Superego","What are Sigmund Freud's id, ego and superego, and how do they interact?",2588
001-050,001,3,50,"Freud's Id, Ego, and Superego: Further Distinctions","How do Sigmund Freud's id, ego and superego compare with the Wise Mind Model covered earlier in the course?",3388
001-051,001,3,51,A Psychoanalytically Focused Discussion,How can a psychoanalytic conversation help uncover the root of a present-day issue?,3257
001-052,001,3,52,Deconstructing the Psychoanalytically Focused Discussion,What can be learned from stepping back and analysing a conversation after the fact?,1464
001-053,001,3,53,Pierre Janet: Learning to Eliminate the Unconscious Facade,Why do we present a face to the world that isn't always our true self?,2186
001-054,001,3,54,The Johari Window: A Model of Personal Insight,"What is the Johari Window, and what can it teach you about self-awareness?",3416
001-055,001,3,55,Human Consciousness: Weaving Together Freud's Theories,How do Sigmund Freud's ideas about the unconscious help explain our present-day behaviour?,2164
001-056,001,3,56,A Framework for Making Wise and Ethically Sound Decisions,"What actually goes into making a wise, ethically sound decision?",5531
001-057,001,3,57,The Dynamic Interplay Between Self-Esteem + Self-Concept,How do self-esteem and self-concept actually relate to one another?,2559
001-058,001,3,58,The Timeline of Personal Belief Development,How can a belief formed in childhood still be shaping your life today?,3502
001-059,001,3,59,Defence Mechanisms: Unconscious Psychological Strategies,"What are defence mechanisms, and why do we rely on them?",5945
001-060,001,3,60,Defence Mechanisms: An Analysis (Irresponsibility Strategies),How do our defence mechanisms show up in our closest relationships?,2143
001-061,001,3,61,Relationship Habits: Transference and Counter-Transference,Why do we sometimes react to people in the present as if they were someone from our past?,2639
001-062,001,3,62,Transference and Countertransference (A Demonstration),"What is countertransference, and how does it complicate our relationships?",2882
001-063,001,3,63,Ulric Neisser and His Five Levels of Self-Awareness,What are Ulric Neisser's five levels of self-awareness?,2572
001-064,001,3,64,The Evaluative Process of Psychoanalysis: Self-Reflection,What are the strengths and limits of psychoanalysis as a way of understanding ourselves?,2169
001-065,001,4,65,Introduction to the Developmental Psychology Section,What does developmental psychology actually study across a whole lifetime?,4305
001-066,001,4,66,Jean Piaget's Four Stages of Cognitive Development,How did Jean Piaget describe the stages children move through as they grow?,2786
001-067,001,4,67,Lawrence Kohlberg's Five Stages of Moral Development,How did Lawrence Kohlberg describe the way moral reasoning develops?,4705
001-068,001,4,68,Erik Erikson's Eight Stages of Human Development (Part 1),What are the first stages in Erik Erikson's theory of human development?,3818
001-069,001,4,69,Erik Erikson's Eight Stages of Human Development (Part 2),What happens in Erik Erikson's stages of adult development?,3120
001-070,001,4,70,Exercise: Questions to Evaluate Your Ongoing Development,What questions help you evaluate how far your own development has come?,1530
001-071,001,4,71,The H. Eysenck Model of Personality and Development (Part 1),"What is Hans Eysenck's model of personality, and how does it work?",3388
001-072,001,4,72,The H. Eysenck Model of Personality & Development (Part 2),How can Hans Eysenck's model of personality be put into practice?,2216
001-073,001,4,73,Questions To Reflect Upon Your Own Personality,Where do you sit on the spectrum between extroversion and introversion?,1596
001-074,001,4,74,Further Distinctions: Transference and Counter-Transference,"Why do we sometimes react to people based on who they remind us of, rather than who they actually are?",504
001-075,001,4,75,The 12 Jungian Archetypes/Ego Types (Part 1 of 2),"What are Carl Jung's twelve archetypes, and what do they reveal about human motivation?",3463
001-076,001,4,76,The 12 Jungian Archetypes/Ego Types (Part 2 of 2),What are the remaining six of Carl Jung's twelve archetypes?,3337
001-077,001,4,77,Transference and Counter-Transference Through Archetypes,How do Carl Jung's archetypes help explain transference and counter-transference?,1107
001-078,001,4,78,The 12 Jungian Archetypes (Downloadable Workbook),How can working through the twelve archetypes in writing deepen your self-understanding?,610
001-079,001,4,79,The Presuppositions of Developmental Thinkers (Part 1),What assumptions do developmental thinkers share that help them build genuine connection?,2640
001-080,001,4,80,The Presuppositions of Developmental Thinkers (Part 2),How do a developmental thinker's core assumptions translate into practical action?,2663
001-081,001,4,81,The Four Domains of Developmental Intelligence,What are the four domains that shape how we grow and adapt throughout life?,2509
001-082,001,4,82,Know Thyself: The Kain Ramsay 'Core Identity' Model,What is the difference between who you truly are and the roles you play?,4027
001-083,001,4,83,Know Thyself: Core Identity...Then What?,What does it actually mean to find your core identity?,1930
001-084,001,4,84,Carl Jung: The Collective Unconscious (Objective Psyche),"What did Carl Jung mean by the ""collective unconscious""?",4155
001-085,001,4,85,Know Thyself: The Six Levels of Conscious Awareness,What are the six levels of conscious awareness that connect us to one another?,2765
001-086,001,4,86,The Eight Stages of Human-Human Connection,"How do human relationships actually develop, stage by stage?",4715
001-087,001,4,87,The Kubler-Ross Change Curve for Growth & Development,What are the five stages people move through when adjusting to change?,4523
001-088,001,4,88,The Kubler Ross Change Curve: Further Distinctions,How does your mindset shape the way you move through the stages of change?,1829
001-089,001,4,89,Howard Gardner: The Multiple Expressions of Intelligence,"What did Howard Gardner mean by ""multiple intelligences""?",5027
001-090,001,4,90,An Exploration of Mindset (Growth Vs Fixed),What is the real difference between a growth mindset and a fixed mindset?,3944
001-091,001,4,91,End of Section Four Summary and Check-In,What options do we actually have for managing our everyday developmental challenges?,3651
001-092,001,5,92,Introduction to the Cognitive School of Thought,How do you actually know that your thoughts are accurate?,2423
001-093,001,5,93,Understanding the Human Cognitive Experience,Do you have to act on every thought that crosses your mind?,4570
001-094,001,5,94,The Four Levels of Interpersonal Communication,"Why does communication so often break down, even when both people mean well?",2921
001-095,001,5,95,Dialogue: A Conversation on Nurturing a Strong Marriage,"What does it actually take to nurture a strong, lasting marriage?",2980
001-096,001,5,96,The Ladder of Inference (by Prof. Chris Argyris),"How do we move from a simple observation to a firm conclusion, often without realising it?",2566
001-097,001,5,97,According to the Pattern of Human Behaviour,What can recognising your own patterns of behaviour actually teach you?,3732
001-098,001,5,98,The Human Experiential Model (Full Cognitive Model),How much control do you really have over the way you process your own thoughts and emotions?,3075
001-099,001,5,99,Locus of Control: Circle of Concern Vs Circle of Control,How do you tell the difference between what you can actually control and what you can't?,3336
001-100,001,5,100,Triangulation: The Karpman 'Victim' Drama Triangle,What roles do people unconsciously fall into during difficult relationship dynamics?,3899
001-101,001,5,101,Personal Evolution: The Purpose of Cognitive Psychology,"What is cognitive psychology actually for, beyond solving day-to-day problems?",4229
001-102,001,5,102,Albert Ellis' Barriers to Effective Listening,What actually stops us from truly listening to another person?,5442
001-103,001,5,103,Noam Chomsky's Cognitive Biases (Deviations from Rationality),How do cognitive biases quietly shape the way we understand the world?,3612
001-104,001,5,104,Daniel Kahneman's Cognitive Biases (Deviations from Rationality),Why do our mental shortcuts sometimes lead us astray?,4057
001-105,001,5,105,6 Steps to Facilitating Positive Cognitive Transformation,What steps actually help facilitate positive change in how someone thinks?,2174
001-106,001,5,106,6 Steps to Facilitate Cognitive Change (A Demonstration),What does it actually look like to work through the six steps of cognitive change with someone?,2628
001-107,001,5,107,Thinking About Thinking: 15 Cognitive Distortions (Part 1),What are some of the cognitive distortions that quietly drive destructive thinking?,4432
001-108,001,5,108,Thinking About Thinking: 15 Cognitive Distortions (Part 2),How does recognising a cognitive distortion actually help you think more clearly?,3837
001-109,001,5,109,How to View Situations from Perspectives Beyond Your Own,How can seeing a situation from someone else's point of view change your understanding of it?,2515
001-110,001,5,110,Perceptual Positions (A Conversation Demonstration),What does it actually look like to work through a problem using several perceptual positions?,1340
001-111,001,5,111,"The Essential A, B, C's of Cognitive Psychology","What is the ABC model, and how does it explain our emotional reactions?",5088
001-112,001,5,112,How to Define the Cause of Any Cognitive Effect,How do you actually trace an effect back to its true cause?,1212
001-113,001,5,113,Defining the True Cause of an Effect (A Demonstration),What does it look like to trace a present feeling back to its real cause?,2114
001-114,001,5,114,"The A, B, C, D, & E's of Cognitive Psychology (and REBT)","What is the ABCDE model, and how does it help restructure irrational thought?",1580
001-115,001,5,115,The Socratic Questioning Process (for Critical Thinking),"What is the Socratic Questioning Process, and why does it work so well for critical thinking?",1809
001-116,001,5,116,The Socratic Questioning Process (A Demonstration),What does the Socratic Questioning Process actually look like in a real conversation?,2831
001-117,001,5,117,End of Section Five Summary and Wrap-Up,What are the strengths and limits of cognitive psychology as a school of thought?,2569
001-118,001,6,118,Introduction to the Humanistic School of Thought,What makes the humanistic school of thought different from behaviourism and psychoanalysis?,2876
001-119,001,6,119,The Heart of Psychology: Operation Hearts and Minds,Is it possible to truly define what it means to be human?,1830
001-120,001,6,120,Humanistic Philosophy in Perspective (The Core Ideas),What are the core ideas at the heart of humanistic philosophy?,4383
001-121,001,6,121,Erich Fromm: Humanistic Psychoanalysis (Part 1 of 2),How did Erich Fromm's humanistic approach to psychoanalysis differ from Sigmund Freud's?,2231
001-122,001,6,122,Erich Fromm: Humanistic Psychoanalysis (Part 2 of 2),Why might freedom itself become a source of psychological tension?,3994
001-123,001,6,123,"The Independent Self, Collective Self, and Relational Self","Do you define yourself mainly as an individual, as part of a group, or through your closest relationships?",2612
001-124,001,6,124,The Six Domains of Self-Concept by Dr Bruce A. Bracken,What six domains make up your sense of self-concept?,5680
001-125,001,6,125,The Characteristics of a Fully Functioning Person (Part 1),"What did Carl Rogers mean by a ""fully functioning person""?",4275
001-126,001,6,126,The Characteristics of a Fully Functioning Person (Part 2),How can Carl Rogers's idea of the fully functioning person be applied to everyday life?,3822
001-127,001,6,127,On Becoming A Fully Functioning Person (A Discussion),"How does the idea of a ""fully functioning person"" apply within a marriage?",2253
001-128,001,6,128,The Core Conditions for Effective Therapeutic Interventions,What conditions did Carl Rogers believe were necessary for therapy to actually work?,3341
001-129,001,6,129,The Propositions that Underpin Carl Rogers' Theory (Part 1),What are the propositions Carl Rogers believed explain how the self is formed?,4548
001-130,001,6,130,The Propositions that Underpin Carl Rogers' Theory (Part 2),What did Carl Rogers mean by congruence between self and experience?,5497
001-131,001,6,131,The Propositions that Underpin Carl Rogers' Theory (Part 3),What did Carl Rogers believe growth towards self-actualisation actually requires?,3607
001-132,001,6,132,Human Motivation: Abraham Maslow's Hierarchy of Needs,What are the different levels of Abraham Maslow's Hierarchy of Needs?,3527
001-133,001,6,133,The Characteristics of a Self-Actualised Person (Part 1),What traits tend to mark someone as self-actualised?,3655
001-134,001,6,134,The Characteristics of a Self-Actualised Person (Part 2),How does self-acceptance play into becoming self-actualised?,3061
001-135,001,6,135,Maslow's Adapted Hierarchy (Deficiency and Growth Needs),How did Abraham Maslow later expand his original Hierarchy of Needs?,4410
001-136,001,6,136,Humanistic Thinking: 10 Self-Reflection Questions,What can reflecting on your own habits and mindset actually reveal about you?,2463
001-137,001,6,137,The 'Good Enough or Not Good Enough' Principle,"Is the belief that you ""aren't good enough"" actually true?",1621
001-138,001,6,138,"The Relationship Between Goals, Fears and Values",What actually stops us from following through on the goals we set?,2746
001-139,001,6,139,Shalom Schwartz's Theory of Basic Human Values (Part 1),What are the ten universal human values that shape our decisions everywhere?,3999
001-140,001,6,140,Shalom Schwartz's Theory of Basic Human Values (Part 2),How do Shalom Schwartz's ten values interact as a system?,2839
001-141,001,6,141,Schwartz Theory of Basic Human Values: Further Distinctions,How does Shalom Schwartz's theory group our ten core values into four broader priorities?,2723
001-142,001,6,142,Human Values: The Human Givens Approach (Part 1),What does the Human Givens Approach say we all fundamentally need?,3933
001-143,001,6,143,Human Values: The Human Givens Approach (Part 2),How can the Human Givens Approach be applied to everyday challenges?,3096
001-144,001,6,144,Universal Values: The Forces Behind Our Decisions (Part 1),What values silently shape almost every decision we make?,4473
001-145,001,6,145,Universal Values: The Forces Behind Our Decisions (Part 2),How does understanding your own values help you understand other people?,3638
001-146,001,6,146,The Achology Core Values Workbooks,What does the Achology values resource actually help you clarify?,783
001-147,001,6,147,Evaluation of Humanistic Psychology and Section Summary,What are the strengths and limits of humanistic psychology as a school of thought?,3429
001-148,001,7,148,Introducing the School of Social Psychology (and Influence),"What does social psychology actually study, and why does it matter?",4229
001-149,001,7,149,The Main Questions Asked Within Social Psychology,What are the main questions social psychology sets out to answer?,2233
001-150,001,7,150,Nurturing Relationships: The Social Psychological Perspective,"What principles actually help build meaningful, healthy relationships?",5126
001-151,001,7,151,Prejudices: Questions for Psychological Social Thinking,Where do your own prejudices and stereotypes actually come from?,2507
001-152,001,7,152,The Iceberg Model of Socio-Cultural Learning (Part 1),Why is culture so often compared to an iceberg?,5059
001-153,001,7,153,The Iceberg Model of Socio-Cultural Learning (Part 2),How does recognising the hidden layers of culture reduce bias?,4863
001-154,001,7,154,A Conversation About How Confirmation Bias Works,Why do we tend to seek out evidence that confirms what we already believe?,1133
001-155,001,7,155,Quick Exercise: Become a Social Psychologist,What does it actually take to become more aware of your own biases?,476
001-156,001,7,156,"The Scales of Hypocrisy, Discrimination and Intolerance",What actually lies underneath discrimination and intolerance?,3537
001-157,001,7,157,The Factors that Determine How We Judge People,"What actually determines who we're drawn to, and who we judge?",5749
001-158,001,7,158,The Hierarchy of Discrimination: Meta-Programs (Part 1),How does bias escalate from a private attitude into something far more dangerous?,3632
001-159,001,7,159,The Hierarchy of Discrimination: Meta-Programs (Part 2),"What are meta-programs, and how do they shape prejudice without us noticing?",3179
001-160,001,7,160,William Glasser's Choice Theory for Understanding Behaviour,What does William Glasser's Choice Theory say actually drives our behaviour?,4471
001-161,001,7,161,Understanding Assumptions: Overview of Attribution Theory,"Why do we assume some people are just careless, while others are just unlucky?",1399
001-162,001,7,162,Understanding Society: The Scale of Social Conformity,Where do you sit on the scale between social conformity and independent thought?,3055
001-163,001,7,163,Understanding Society: Conformity and Obedience Research,What did Solomon Asch and Stanley Milgram's experiments reveal about conformity and obedience?,4113
001-164,001,7,164,Stanley Milgram's Agency Theory of Human Behaviour,"According to Stanley Milgram, what are the two states we operate in when interacting with authority?",3135
001-165,001,7,165,The Four Different Expressions of Social Conformity,What are the different ways social conformity actually shows up in our lives?,3706
001-166,001,7,166,Júrgen Habermas: The 'Influence of Minority' Groups,What did Jürgen Habermas believe was needed to build a genuinely rational society?,3749
001-167,001,7,167,The Elaboration and Likelihood Model (of Influence),How does the Elaboration Likelihood Model explain why some messages persuade us and others don't?,3827
001-168,001,7,168,In What Ways Might You be Socially Influenced?,In what ways might you be socially influenced without even realising it?,3121
001-169,001,7,169,The Levels of Relatability (and Interpersonal Closeness),How does personal growth actually change the depth of our relationships?,3657
001-170,001,7,170,The Individual Inside of a Larger Social Structure (Part 1),"How is society actually structured, and where do you fit within it?",4384
001-171,001,7,171,The Individual Inside of a Larger Social Structure (Part 2),What role can an individual actually play within a larger social structure?,4176
001-172,001,7,172,The (Best Possible) Purpose of Modern Applied Psychology,What is the best possible purpose Modern Applied Psychology can serve?,2047
001-173,001,7,173,Identifying Opportunities for Your Ongoing Personal Growth,What questions help you identify where your own personal growth can go next?,664
001-174,001,7,174,Evaluating Social Psychology and End of Section Summary,What are the strengths and limits of social psychology as a school of thought?,1522
001-175,001,8,175,Overall Course Summary and Final Closing Thoughts,What does this course ultimately hope you take away from it?,2948
002-001,002,1,1,"Welcome to ""A Beginner's Guide to NLP""",What can NLP actually teach you about your own thinking?,2001
002-002,002,1,2,The Basic NLP Communications Model (+ VAGOK),How does information from the outside world actually become a feeling?,4552
002-003,002,1,3,Concrete Authority Vs. Abstract Authority (Thinking),What is the difference between concrete and abstract thinking?,2297
002-004,002,1,4,Neurological Flexibility and Rigidity (Part 1 of 2),How far would you go for something that actually matters to you?,3678
002-005,002,1,5,Neurological Flexibility and Rigidity (Part 2 of 2),What happens once you actually sit with those unlocking questions?,2910
002-006,002,1,6,The Differences Between a Growth and Fixed Mindset,"Is your mindset actually fixed, or only acting that way?",4822
002-007,002,1,7,The 'Present State' to 'Desired State' Model,How do you actually get from where you are to where you want to be?,3646
002-008,002,1,8,The 7 Stages of Personal Growth & Development (Part 1),What is the first of the seven stages of personal growth?,3799
002-009,002,1,9,The 7 Stages of Personal Growth & Development (Part 2),What happens once resistance to growth actually arrives?,2437
002-010,002,1,10,8 Questions for Expanding Your Neuro-Pathways,What questions actually expand the way you think?,3415
002-011,002,1,11,A Container for Developing Conscious Self-Awareness,How much of your potential is limited by how you define yourself?,5182
002-012,002,1,12,The Presuppositions of Neuro-Linguistic Programming,What are the presuppositions that Neuro-Linguistic Programming actually rests on?,5322
002-013,002,1,13,Perception Vs. Reality: The Map is not the Territory,"Is your view of the world actually reality, or your own approximation of it?",2681
002-014,002,1,14,The Applications of Neuro-Linguistic Programming (NLP),What can Neuro-Linguistic Programming actually improve in your everyday life?,1919
002-015,002,1,15,End of Section One Summary and Check-In,What has actually stuck with you from this section?,643
002-016,002,2,16,Wise Mind Model (for Developing Self-Knowledge),"What is the wise mind, and how do you actually reach it?",2352
002-017,002,2,17,Understanding NLP Anchoring and Frames of Reference,How does a piece of music end up carrying an emotion for you?,2789
002-018,002,2,18,Recognising and Recalling Memory Anchors,How do memories formed in childhood still shape your assumptions today?,3274
002-019,002,2,19,The Human Experiential Model (Mental Processing),"Does the situation shape your outcome, or does your interpretation of it?",4866
002-020,002,2,20,The Three Dimensions that Influence State,Which of the three dimensions is actually holding you back right now?,4070
002-021,002,2,21,Circle of Concern Vs. Circle of Control,Are you spending energy on what you can actually influence?,4727
002-022,002,2,22,NLP Goal Setting: A Guide to Balanced Goal Setting,How much time should each type of goal actually get?,3955
002-023,002,2,23,How to Remove ALL Ambiguity From Goal Setting,What questions actually strip the ambiguity out of a goal?,1994
002-024,002,2,24,Outcome Dynamics: Setting Positively Framed Goals,Why does phrasing a goal negatively work against you?,1937
002-025,002,2,25,Ten 'Creative' Solution Focussed Questions,What ten questions actually unlock a creative solution?,1937
002-026,002,2,26,4 Optional Strategies for Responding to Life's Challenges,Which of the four ways of meeting a challenge do you actually default to?,2177
002-027,002,2,27,End of Section Two Summary and Check-In,What has this section actually asked you to reconsider?,1030
002-028,002,3,28,Virginia Satir's Critical Ideologies (and Philosophies),What did Virginia Satir believe made real change possible?,4261
002-029,002,3,29,The Practical Applications of Positive Assumptions,What are Satir's four assumptions for a stronger relationship?,4020
002-030,002,3,30,Fritz Perls and the Principles of Gestalt Therapy,What does Gestalt therapy actually ask you to pay attention to?,4761
002-031,002,3,31,The 4 Stages Through Which Communication Happens,Why does what you say so rarely arrive exactly as you meant it?,2528
002-032,002,3,32,The Essential Conditions for Effective Communication,What conditions actually let a person open up in conversation?,4225
002-033,002,3,33,"Interpersonal Connections: Pacing, Leading & Sensory Acuity","How do pacing, leading and sensory acuity actually work together?",2602
002-034,002,3,34,The Expressions of Interpersonal Relatability (Part 1 of 2),What actually shapes a decision before you are aware of making it?,4178
002-035,002,3,35,The Expressions of Interpersonal Relatability (Part 2 of 2),How do you actually apply interpersonal relatability to your own relationships?,2301
002-036,002,3,36,A Strategy for Achieveing Anything in the World!,What is the actual formula for achieving anything you set out to?,2961
002-037,002,3,37,A Strategy Elicitation Exercise (for Generating Results),How do you actually model somebody else's success?,3322
002-038,002,3,38,The Differences Between 'Breakdown' and 'Breakthrough',Can a breakdown actually be the beginning of a breakthrough?,3511
002-039,002,3,39,End of Section Three Summary and Check-In,What has this whole final section of the course actually asked of you?,621
002-040,002,3,40,Recommended Reads to Support Your Ongoing Growth,What should you read once this course has finished?,2535
003-001,003,1,1,Welcome to NLP Practitioner and Course Introductions,What can you expect from the NLP Practitioner training course?,2788
003-002,003,1,2,What is Neuro-Linguistic Programming (NLP)?,What is Neuro-Linguistic Programming (NLP) and how does it work?,1591
003-003,003,1,3,Head Habits: Neuro-Logical Flexibility and Rigidity,How flexible is your thinking when circumstances change?,3173
003-004,003,1,4,The Four Pillars of Neuro-Linguistic Programming (NLP),What are the four pillars that NLP practice is built on?,2744
003-005,003,1,5,The 'Present State to Desired State' Model,How do you move from where you are now to where you want to be?,3025
003-006,003,1,6,"The 3 Levels of Impact, Purpose, and Fulfilment",How can personal growth ripple outward into lasting impact?,1341
003-007,003,1,7,A Framework for Sharpening Up Your Judgement,How can you sharpen your own judgement?,2379
003-008,003,1,8,Maps and Territories: Evaluating the Precision of Perception,Why is it worth questioning whether your view of a situation is the whole picture?,1631
003-009,003,1,9,An Objective Evaluation of Neuro-Linguistic Programming,Why does Neuro-Linguistic Programming attract both strong advocates and strong critics?,2282
003-010,003,1,10,Self-Reflection Questions to Warm-Up Your Mind,What questions can help you warm up your thinking before going further?,2029
003-011,003,1,11,The Foundational Presuppositions of NLP (Part 1),What core assumptions underpin effective communication and personal growth in Neuro-Linguistic Programming (NLP)?,2695
003-012,003,1,12,The Foundational Presuppositions of NLP (Part 2),How do the Neuro-Linguistic Programming (NLP) presuppositions change the way you approach everyday interactions?,4973
003-013,003,1,13,7 Questions for Stretching Your Neuro-Logical Pathways,What lies beyond the edges of your own experience?,1511
003-014,003,1,14,Noam Chomsky's Cognitive Bias (Errors in Thinking),How do cognitive biases distort the way people think?,3562
003-015,003,1,15,The History of Human Enlightenment (Age of Reason),How did the Age of Reason shape the way we understand human thought today?,2242
003-016,003,1,16,The History of Neuro-Linguistic Programming (NLP),Where did Neuro-Linguistic Programming actually come from?,2255
003-017,003,1,17,Benjamin Bloom's Taxonomy for Critical Thinking,How can you train yourself to think more critically?,2237
003-018,003,1,18,The Highly-Personal Applications of NLP (An Overview),What kinds of intelligence does NLP actually help you develop?,2921
003-019,003,2,19,Distinctions Within the Human Mind (and Building Wisdom),What does it mean to think with a 'wise mind'?,2871
003-020,003,2,20,Developing True Objectivity: The Heart of Wisdom,How does where you focus your attention shape your emotional well-being?,2771
003-021,003,2,21,A Candid Conversation about the Heart of Wisdom,What can a personal story of adversity teach about the nature of wisdom?,2254
003-022,003,2,22,Beliefs and the Socialisation Learning Process (Part 1),"Are your beliefs something you were born with, or something you learned?",3642
003-023,003,2,23,Beliefs and the Socialisation Learning Process (Part 2),How do the forces that shaped your beliefs continue to operate?,1977
003-024,003,2,24,The Construction of Individual & Collective Realities,"How much of what you call ""reality"" was actually built by the people around you?",2404
003-025,003,2,25,Mental Filter: Understanding the Frame of Reference,What is actually shaping the way you interpret the world around you?,1443
003-026,003,2,26,Changing Perspectives: Reframing Meaning with Virginia Satir,How can changing the frame around an experience change its meaning?,3560
003-027,003,2,27,Mental Acuity: An Exploration of What Cognitive Flexibility Is,How does mixing with people unlike yourself sharpen your thinking?,3232
003-028,003,2,28,A Candid Conversation on Reframing Our Meanings,How can reframing a problem change how it feels to face it?,3967
